"CONNUM","CONFEC","CONDES","CONCLI","CONVEN","CONCANDEB","CONCANHAB","","","","","","","",""
"4531","20190118","35 ENVASES 60 ML $ 12.80","1471","0","448","0","","","","","","","",""
"4532","20190118","2.100 LITRO PERFUMINA","1471","0","273","0","","","","","","","",""
"4533","20190118","10 ENVASES 1 LITRO $ 8","1708","0","80","0","","","","","","","",""
"4534","20190118","30 ENVASES 250 ML $ 9","1708","0","270","0","","","","","","","",""
"4535","20190118","30 TAPAS DE ALUMINIO $ 1.80","1708","0","54","0","","","","","","","",""
"4536","20190118","40 VARILLAS $ 2.30","1471","0","92","0","","","","","","","",""
"4537","20190118","30 GATILLOS $ 12.50","1471","0","375","0","","","","","","","",""
"4538","20190118","10 ENVASES  260 ML $ 9","1443","0","90","0","","","","","","","",""
"4539","20190118","10 ENVASES 500 ML $ 9.35","1443","0","93.5","0","","","","","","","",""
"4540","20190118","20 ENVASES 125 ML 6","1729","0","120","0","","","","","","","",""
"4541","20190121","ERROR","907","0","100","0","","","","","","","",""
"4542","20190121","30 VARILLAS $ 2.30","1729","0","69","0","","","","","","","",""
"4543","20190121","20 ENVA 500 ML $ 9.35","1729","0","187","0","","","","","","","",""
"4544","20190121","20 ENVA 260 ML 9","1729","0","180","0","","","","","","","",""
"4545","20190122","50 FRASCOS 500 ML $ 9.35","1499","0","467.5","0","","","","","","","",""
"4546","20190122","100 FRASCOS 260 ML $ 9","1499","0","900","0","","","","","","","",""
"4547","20190122","150 GATILLOS $ 12.50","1499","0","1875","0","","","","","","","",""
"4548","20190122","50 VARILLAS $ 2.30","1499","0","115","0","","","","","","","",""
"4549","20190122","4 CALCOS","1499","0","200","0","","","","","","","",""
"4550","20190123","FEDERADA","1238","0","2176.23","0","","","","","","","",""
"4551","20190123","FEDERADA","1471","0","2176.23","0","","","","","","","",""
"4552","20190123","30 GATILLOS 12.50","1471","0","375","0","","","","","","","",""
"4553","20190124","45 FRASCOS COMPLETOS DE 60 ML $ 12.80","1443","0","576","0","","","","","","","",""
"4554","20190124","2.250 LITRO PERFUMINA","1443","0","292.5","0","","","","","","","",""
"4555","20190124","15 GATILLOS $ 12.50","1729","0","187.5","0","","","","","","","",""
"4556","20190125","10 ENVASES 500 ML $ 9.35","1443","0","93.5","0","","","","","","","",""
"4557","20190128","20 FRASCOS 60 ML COMP.","1238","0","256","0","","","","","","","",""
"4558","20190128","1 LITRO PERF,","1238","0","125.57","0","","","","","","","",""
"4559","20190128","DISE�O","1238","0","100","0","","","","","","","",""
"4560","20190129","20 VARILLAS $ 2.30","1238","0","46","0","","","","","","","",""
"4561","20190129","5 FRASCOS 250 ML 9","1238","0","45","0","","","","","","","",""
"4562","20190129","40 VARILLAS 2.30","1471","0","92","0","","","","","","","",""
"4563","20190129","15 ENVASES 125 ML 6","1471","0","90","0","","","","","","","",""
"4564","20190129","DEVOLUCION 35 FRAGANCIAS $109.50 C/U","1600","0","0","3832.5","","","","","","","",""
"4565","20190130","10 FRASCOS 125 ML $6","1443","0","60","0","","","","","","","",""
"4566","20190130","10 FRASCOS 260 ML $ 9","1443","0","90","0","","","","","","","",""
"4567","20190130","24 VARILLAS $ 3","1571","0","72","0","","","","","","","",""
"4568","20190131","70 FRASCOS 50 ML COMPLETOS $ 12.80","1499","0","896","0","","","","","","","",""
"4569","20190131","50 FRASCOS 125 ML $ 6","1499","0","300","0","","","","","","","",""
"4570","20190131","50 FRASCOS 260 ML $ 9","1499","0","450","0","","","","","","","",""
"4571","20190131","50 FRASCOS 500 ML $ 9.35","1499","0","467.5","0","","","","","","","",""
"4572","20190131","100 GATILLOS $ 12.50","1499","0","1250","0","","","","","","","",""
"4573","20190201","10 VARILLAS $ 2.30","1443","0","23","0","","","","","","","",""
"4574","20190201","5 GATILLOS $ 12.50","1443","0","62.5","0","","","","","","","",""
"4575","20190204","EMPLEADA","1238","0","0","450","","","","","","","",""
"4576","20190204","10 FRASCOS 260 ML 9","1238","0","90","0","","","","","","","",""
"4577","20190204","10 GATILLOS  12.50","1238","0","125","0","","","","","","","",""
"4578","20190204","10 FRASCOS 125 ML $ 6","1443","0","60","0","","","","","","","",""
"4579","20190204","50 GATILLOS $ 12.50","1471","0","625","0","","","","","","","",""
"4580","20190205","10 VARILLAS 2.30","1443","0","23","0","","","","","","","",""
"4581","20190205","10 FRASCOS 260 ML $ 9","1443","0","90","0","","","","","","","",""
"4582","20190205","15 ENVASES $ 125 ML  6","1471","0","90","0","","","","","","","",""
"4583","20190205","40 VARILLAS $ 2.30","1471","0","92","0","","","","","","","",""
"4584","20190205","5 PERFUMES DE 60 ML","1471","0","103","0","","","","","","","",""
"4585","20190205","10 ENVASES 125 ML 6","1238","0","60","0","","","","","","","",""
"4586","20190205","10 ENVASES 260 ML $ 9","1238","0","90","0","","","","","","","",""
"4587","20190206","30 EQUIPOS $ 200","1499","0","6000","0","","","","","","","",""
"4588","20190206","15 EQUIPOS $ 200","1729","0","3000","0","","","","","","","",""
"4589","20190206","40 ENVASES 125 ML $ 6","1471","0","240","0","","","","","","","",""
"4590","20190206","30 VARILLAS $ 2.30","1471","0","69","0","","","","","","","",""
"4591","20190207","10 FRASCOS 125 ML $ 6","628","0","60","0","","","","","","","",""
"4592","20190207","10 FRASCOS 250 ML $ 9","628","0","90","0","","","","","","","",""
"4593","20190207","20 TAPAS 1","628","0","20","0","","","","","","","",""
"4594","20190208","10 ENVASES 500 ML $ 9.35","1443","0","93.5","0","","","","","","","",""
"4595","20190208","10 ENVASES 250 $ 9","1443","0","90","0","","","","","","","",""
"4596","20190208","5 GATILLOS $ 12.50","1443","0","62.5","0","","","","","","","",""
"4597","20190211","SEGURO 2 MESES","1238","0","1426","0","","","","","","","",""
"4598","20190211","SEGURO 2 MESES","1471","0","2202","0","","","","","","","",""
"4599","20190211","10 GATILLO 12.50","1238","0","125","0","","","","","","","",""
"4600","20190211","80 FRASCOS 500 ML $ 9.35","1238","0","748","0","","","","","","","",""
"4601","20190211","10 VARILLAS $ 2.30","1443","0","23","0","","","","","","","",""
"4602","20190211","10 ENAVSES 500 ML $ 9.35","1443","0","93.5","0","","","","","","","",""
"4603","20190211","DEVOLUCION 2 AEROSOLES","209","0","0","146","","","","","","","",""
"4604","20190212","25 FRASCOS 60 ML 12.80","1238","0","320","0","","","","","","","",""
"4605","20190212","1.5 LITRO PERF,","1238","0","195","0","","","","","","","",""
"4606","20190212","25 VARILLAS $ 2.30","1443","0","57.5","0","","","","","","","",""
"4607","20190212","80 FRASCOS 500 ML $ 9.35","1471","0","748","0","","","","","","","",""
"4608","20190212","264 FRASCOS 260 ML $9","1471","0","2376","0","","","","","","","",""
"4609","20190212","15 ENVASES 125 ML$ 6","1471","0","90","0","","","","","","","",""
"4610","20190212","20 FRASCOS 260 ML $ 9","1238","0","180","0","","","","","","","",""
"4611","20190212","20 GATILLOS 12.50","1238","0","250","0","","","","","","","",""
"4612","20190213","FLETE EQUIPOS","1471","0","276","0","","","","","","","",""
"4613","20190213","FLETE EQUIPOS","1238","0","69","0","","","","","","","",""
"4614","20190213","FLETE EQUIPOS","1443","0","276","0","","","","","","","",""
"4616","20190213","10 FRASCOS 125 ML $ 6","1443","0","60","0","","","","","","","",""
"4617","20190213","50 TAPAS","1443","0","50","0","","","","","","","",""
"4618","20190215","ERROR CHEQUE JUAN","1471","0","0","3775","","","","","","","",""
"4619","20190215","10 VARILLAS 2.30","1443","0","23","0","","","","","","","",""
"4620","20190215","10 ENVASES 125 ML $ 6","1443","0","60","0","","","","","","","",""
"4621","20190215","10 FRASCOS 250 ML $ 9","1443","0","90","0","","","","","","","",""
"4622","20190215","10 ENVASES 500 ML $ 9.35","1443","0","93.5","0","","","","","","","",""
"4623","20190215","FLETE SAHUMERIOS","1238","0","81","0","","","","","","","",""
"4624","20190215","FLETE SAHUMERIOS","1443","0","66","0","","","","","","","",""
"4625","20190215","FLETE SAHUMERIOS","1471","0","153","0","","","","","","","",""
"4626","20190218","MOVISTAR","1238","0","780","0","","","","","","","",""
"4627","20190218","MOVISTAR","1471","0","500","0","","","","","","","",""
"4628","20190218","10 VARILLAS $ 2.30","1443","0","23","0","","","","","","","",""
"4629","20190219","30 FRASCOS 250 ML $ 9","1238","0","270","0","","","","","","","",""
"4630","20190219","10 FRASCOS 125 ML $ 6","1238","0","60","0","","","","","","","",""
"4631","20190219","20 GATILLOS $ 12.50","1238","0","250","0","","","","","","","",""
"4632","20190220","30 ENVASES 250 ML $ 9","1708","0","270","0","","","","","","","",""
"4633","20190220","30 TAPAS ALUMINIO $ 1.80","1708","0","54","0","","","","","","","",""
"4634","20190220","10 ENVASES 1 LITRO $ 8","1708","0","80","0","","","","","","","",""
"4635","20190220","50 VARILLAS $ 2.30","1471","0","115","0","","","","","","","",""
"4636","20190221","15 GATILLOS $ 12.50","1729","0","187.5","0","","","","","","","",""
"4637","20190221","20 VARILLAS 2.30","1443","0","46","0","","","","","","","",""
"4638","20190222","FEDERADA","1238","0","2176.23","0","","","","","","","",""
"4639","20190222","FEDERADA","1471","0","2464.41","0","","","","","","","",""
"4640","20190222","50 FRASCOS 250 ML $ 9","1499","0","450","0","","","","","","","",""
"4641","20190222","50 FRASCOS 500 ML $ 9.35","1499","0","467.5","0","","","","","","","",""
"4642","20190222","100 GATILLOS 12.50","1499","0","1250","0","","","","","","","",""
"4643","20190222","10 ENVASES 125 ML $ 6","1471","0","60","0","","","","","","","",""
"4644","20190222","10 ENVASES 1 LITRO8","1471","0","80","0","","","","","","","",""
"4645","20190222","55 GATILLOS $ 12.50","1471","0","687.5","0","","","","","","","",""
"4646","20190222","10 FARSCOS 250 ML $ 9","1443","0","90","0","","","","","","","",""
"4647","20190222","10 FRASCOS 500 ML $ 9.35","1443","0","93.5","0","","","","","","","",""
"4648","20190226","10 GATILLOS 12.50","1443","0","125","0","","","","","","","",""
"4651","20190301","DESCUENTO 2.5%","1593","0","0","1204.5","","","","","","","",""
"4652","20190301","24 ENVASES 250 ML 10.30","1571","0","247.2","0","","","","","","","",""
"4653","20190301","24 GATILLOS 16.60","1571","0","398.4","0","","","","","","","",""
"4654","20190301","5 GATILLOS $ 12.50","1238","0","62.5","0","","","","","","","",""
"4655","20190301","10 FRASCOS 250 ML$ 9","1238","0","90","0","","","","","","","",""
"4656","20190301","10 FRASCOS 125 ML 6","1238","0","60","0","","","","","","","",""
"4657","20190301","20 VARILLAS 2.30","1443","0","46","0","","","","","","","",""
"4658","20190301","15 ENVASES 260 ML 9","1443","0","135","0","","","","","","","",""
"4659","20190306","CALCOS","1499","0","50","0","","","","","","","",""
"4660","20190308","10 ENVASES 500 CC SIN TAPA $11.80","1708","0","118","0","","","","","","","",""
"4661","20190308","50 ENVASES 250 CC A $10.30","1708","0","515","0","","","","","","","",""
"4662","20190308","60 VARILLAS $2.30","1471","0","138","0","","","","","","","",""
"4663","20190308","50 GATILLOS $12.50","1471","0","625","0","","","","","","","",""
"4664","20190311","10 VARILLAS $2.30","1443","0","23","0","","","","","","","",""
"4665","20190311","25 FRASCOS 250 ML $9","1238","0","225","0","","","","","","","",""
"4666","20190311","20 GATILLOS CORTOS $12.50","1238","0","250","0","","","","","","","",""
"4667","20190311","BOLSON 500 ML ( 80 UNIDADES )$9.35","1238","0","748","0","","","","","","","",""
"4668","20190312","80 FRASCOS 50 ML $9.35","1471","0","748","0","","","","","","","",""
"4669","20190312","30 FRASCOS 125 ML $6","1471","0","180","0","","","","","","","",""
"4670","20190312","6 BOMBAS DE JABON $10.15","1238","0","60.9","0","","","","","","","",""
"4671","20190214","40 ENVASE 250 CC $10.30","1708","0","412","0","","","","","","","",""
"4672","20190315","15 FRASCOS DE 260 ML $10.30","1443","0","154.5","0","","","","","","","",""
"4673","20190315","10 FRASCOS DE 500 ML $11.80","1443","0","118","0","","","","","","","",""
"4674","20190315","5 GATILLOS LARGOS $16.6","1238","0","83","0","","","","","","","",""
"4675","20190319","SEGURO","1238","0","713","0","","","","","","","",""
"4676","20190319","SEGURO","1471","0","1101","0","","","","","","","",""
"4677","20190319","PONY 50 %","1593","0","75","0","","","","","","","",""
"4678","20190319","30 VARILLAS 2.30","1443","0","69","0","","","","","","","",""
"4679","20190319","20 TAPAS 1","1443","0","20","0","","","","","","","",""
"4680","20190319","30 GATILLOS $ 12.50","1471","0","375","0","","","","","","","",""
"4681","20190320","100 FRASCOS 250 ML $ 9","1499","0","900","0","","","","","","","",""
"4682","20190320","2 ETIQUETAS","1499","0","100","0","","","","","","","",""
"4683","20190320","100 VARILLAS 2.30","1499","0","230","0","","","","","","","",""
"4684","20190320","1000 BOLSAS CHICAS $ 2.70","1499","0","2700","0","","","","","","","",""
"4685","20190320","1500 BOLSAS GRANDES $ 3.77","1499","0","3770","0","","","","","","","",""
"4686","20190320","1 BIDON $","1499","0","300","0","","","","","","","",""
"4687","20190320","10 ENVASES 500 ML 11.80","1443","0","118","0","","","","","","","",""
"4688","20190320","10 ENVASES 260 ML 10.30","1443","0","103","0","","","","","","","",""
"4689","20190321","264 ENVASES 250 ML 9","1471","0","2376","0","","","","","","","",""
"4690","20190321","10 GATILLOS 12.50","1443","0","125","0","","","","","","","",""
"4691","20190322","30 GATILLOS $ 16.60","1571","0","498","0","","","","","","","",""
"4692","20190322","30 ENVASES 250 ML $ 10.30","1571","0","309","0","","","","","","","",""
"4693","20190322","10 FRASCOS 125 ML 6","1443","0","60","0","","","","","","","",""
"4694","20190322","5 GATILLOS 12.50","1443","0","62.5","0","","","","","","","",""
"4695","20190325","10 FRASCOS 60 ML COMPLETOS 12.80","1471","0","128","0","","","","","","","",""
"4696","20190325","600 ML PERFUMINA","1471","0","78","0","","","","","","","",""
"4697","20190325","50 GATILLOS 12.50","1471","0","625","0","","","","","","","",""
"4698","20190325","50 VARILLAS 2.30","1471","0","115","0","","","","","","","",""
"4699","20190325","50 TAPAS 1","1443","0","50","0","","","","","","","",""
"4700","20190326","20 FRASCOS 260 ML 9","1238","0","180","0","","","","","","","",""
"4701","20190326","20 GATILLOS 12.50","1238","0","250","0","","","","","","","",""
"4702","20190326","FEDERADA","1238","0","2176.23","0","","","","","","","",""
"4703","20190326","FEDERADA","1471","0","2176.23","0","","","","","","","",""
"4704","20190327","10 ENVASES 250 ML 10.30","1443","0","103","0","","","","","","","",""
"4705","20190327","10 ENVASES 500 ML 11.80","1443","0","118","0","","","","","","","",""
"4706","20190328","15 FRASCOS 60 ML 12.80","1471","0","192","0","","","","","","","",""
"4707","20190328","900 ML PERFUMINA","1471","0","117","0","","","","","","","",""
"4708","20190401","10 ENVASES 125 ML 6","1443","0","60","0","","","","","","","",""
"4709","20190401","10 ENVASES 250 ML $ 10.30","1443","0","103","0","","","","","","","",""
"4710","20190401","10 ENVASES 500 ML $ 11.80","1443","0","118","0","","","","","","","",""
"4711","20190403","PERSONAL","1238","0","450","0","","","","","","","",""
"4712","20190403","PERSONAL","1471","0","450","0","","","","","","","",""
"4713","20190404","50 GATILLOS 12.50","1471","0","625","0","","","","","","","",""
"4714","20190404","30 FRASCOS 125 ML $ 6","1471","0","180","0","","","","","","","",""
"4715","20190404","CALCOS","1499","0","100","0","","","","","","","",""
"4716","20190404","100 VARILLAS $ 2.30","1499","0","230","0","","","","","","","",""
"4717","20190404","50 FRASCOS 250 ML $ 9","1499","0","450","0","","","","","","","",""
"4718","20190404","50 FRASCOS 125 ML $ 6","1499","0","300","0","","","","","","","",""
"4719","20190404","10 GATILLOS $16.60","1571","0","166","0","","","","","","","",""
"4720","20190405","1 BIDON CON CANILLA","1499","0","330","0","","","","","","","",""
"4721","20190405","TAPAS 30","1443","0","30","0","","","","","","","",""
"4722","20190405","10 GATILLOS $ 12.50","1443","0","125","0","","","","","","","",""
"4723","20190405","10 ENVASE 260 $ 10.30","1443","0","103","0","","","","","","","",""
"4724","20190408","FLETE NAHUEL","1238","0","241","0","","","","","","","",""
"4725","20190408","FLETE NAHUEL","1443","0","174","0","","","","","","","",""
"4726","20190408","FLETE NAHUEL","1471","0","579","0","","","","","","","",""
"4727","20190409","20 VARILLAS $ 2.30","1443","0","23","0","","","","","","","",""
"4728","20190409","20 TAPAS","1443","0","20","0","","","","","","","",""
"4729","20190409","10 ENVASES 1 LITRO $ 11","1443","0","110","0","","","","","","","",""
"4730","20190409","100 VARILLAS $ 2.30","1471","0","230","0","","","","","","","",""
"4731","20190409","50 GATILLOS $ 12.50","1471","0","625","0","","","","","","","",""
"4732","20190409","10 ENVASES 1 LIT  $ 11","1471","0","110","0","","","","","","","",""
"4733","20190409","50 TAPAS 1","1238","0","50","0","","","","","","","",""
"4734","20190409","80 FRASCOS 500 ML $ 9.35","1238","0","748","0","","","","","","","",""
"4735","20190410","SEGURO","1238","0","799","0","","","","","","","",""
"4736","20190410","SEGURO","1471","0","1308","0","","","","","","","",""
"4737","20190410","20 VARILLAS $ 2.30","1443","0","46","0","","","","","","","",""
"4738","20190415","30 VARILLAS $ 2.50","1729","0","75","0","","","","","","","",""
"4739","20190415","10 ENVASES 500 ML $ 11.55","1729","0","115.5","0","","","","","","","",""
"4740","20190415","10 ENVASES 250 ML 8.75","1729","0","87.5","0","","","","","","","",""
"4741","20190416","100 FRASCOS 60 ML COMPLETOS $ 12.75","1499","0","1275","0","","","","","","","",""
"4742","20190416","50 FRASCOS 250 ML $ 8.75","1499","0","437.5","0","","","","","","","",""
"4743","20190416","50 GATILLOS $ 13.65","1499","0","682.5","0","","","","","","","",""
"4744","20190416","20 GATILLOS $ 13.65","1499","0","273","0","","","","","","","",""
"4745","20190416","50 ENVASES 250 ML 10.30","1708","0","515","0","","","","","","","",""
"4746","20190416","20 ENVASES 1 LITRO  $ 13.80","1708","0","276","0","","","","","","","",""
"4747","20190416","10 FRASCOS 125 C/ TAPA $ 7.85","628","0","78.5","0","","","","","","","",""
"4748","20190416","10 FRASCOS 250 CON TAPA 11.25","628","0","112.5","0","","","","","","","",""
"4749","20190416","20 FRASCOS 260 ML 8.75","1238","0","175","0","","","","","","","",""
"4750","20190416","20 GATILLOS 13.65","1238","0","273","0","","","","","","","",""
"4751","20190416","50 VARILLAS $ 2.50","1471","0","125","0","","","","","","","",""
"4752","20190417","50% PONY","1593","0","315","0","","","","","","","",""
"4753","20190417","50 VARILLAS $ 2.50","1443","0","125","0","","","","","","","",""
"4754","20190417","10 FRASCOS 125 ML 6.55","1443","0","65.5","0","","","","","","","",""
"4755","20190417","10 FRASCOS 250 ML $ 8.75","1443","0","87.5","0","","","","","","","",""
"4756","20190417","10 FRASCOS 500 ML $ 11.55","1443","0","115.5","0","","","","","","","",""
"4757","20190417","DEVOLUCION DE 70 PERFUMINAS $ 80.60","986","0","0","5642","","","","","","","",""
"4758","20190417","DEVOLUCION 30 DIFUSOR $ 108.60","986","0","0","3258","","","","","","","",""
"4759","20190422","20 VARILLAS $ 2.50","1238","0","50","0","","","","","","","",""
"4760","20190422","10 FRASCOS 250 ML","1238","0","87.5","0","","","","","","","",""
"4761","20190422","50 VARILLAS 2.50","1443","0","125","0","","","","","","","",""
"4762","20190422","15 ENVASES $ 8.75","1443","0","131.25","0","","","","","","","",""
"4763","20190422","20 TAPAS 1.30","1443","0","26","0","","","","","","","",""
"4764","20190422","40 VARILLAS 2.50","1471","0","100","0","","","","","","","",""
"4765","20190422","50 GATILLOS $ 13.65","1471","0","682.5","0","","","","","","","",""
"4766","20190422","35 ENVASES 125 ML 6.55","1471","0","229.25","0","","","","","","","",""
"4767","20190422","15 ENVASES 60 ML $ 12.75","1471","0","191.25","0","","","","","","","",""
"4769","20190423","15 EQUIPOS C/FLETE $ 205 C/U","1499","0","3075","0","","","","","","","",""
"4770","20190423","50 TAPAS 1.30","1238","0","65","0","","","","","","","",""
"4771","20190424","FEDERADA","1238","0","2355.89","0","","","","","","","",""
"4772","20190424","FEDERADA","1471","0","2674.43","0","","","","","","","",""
"4773","20190424","FLETE EQUIPOS","1238","0","75","0","","","","","","","",""
"4774","20190424","FLETE EQUIPOS","1443","0","150","0","","","","","","","",""
"4775","20190424","FLETE EQUIPOS","1471","0","350","0","","","","","","","",""
"4776","20190424","5 BIDONES $330","1721","0","1650","0","","","","","","","",""
"4777","20190425","50 ENVASES 250 ML  9.60","1708","0","480","0","","","","","","","",""
"4778","20190425","50 TAPAS 1.65","1708","0","82.5","0","","","","","","","",""
"4779","20190425","20 BOMBAS CREMERA $ 10.90","1708","0","218","0","","","","","","","",""
"4780","20190502","10 FRASCOS 125 ML $ 6.55","1443","0","65.5","0","","","","","","","",""
"4781","20190502","10 FRASCOS 260 ML $ 8.75","1443","0","87.5","0","","","","","","","",""
"4782","20190502","10 FRASCOS 125 ML $ 6.55","1443","0","65.5","0","","","","","","","",""
"4783","20190502","30 VARILLAS $ 2.50","1238","0","75","0","","","","","","","",""
"4784","20190503","80 FRASCOS 500 ML $ 11.55","1471","0","924","0","","","","","","","",""
"4785","20190506","PERSONAL","1238","0","450","0","","","","","","","",""
"4786","20190506","PERSONAL","1471","0","450","0","","","","","","","",""
"4787","20190506","FLETE SAHUMERIOS","1238","0","731","0","","","","","","","",""
"4788","20190506","FLETE SAHUMERIOS","1443","0","154","0","","","","","","","",""
"4789","20190506","FLETE SAHUMERIOS","1471","0","331","0","","","","","","","",""
"4790","20190506","50 GATILLOS $ 13.65","1471","0","682.5","0","","","","","","","",""
"4791","20190507","CHEQUEE SAN ANTONIO","1443","0","0","3784","","","","","","","",""
"4792","20190508","SEGURO","1238","0","799","0","","","","","","","",""
"4793","20190508","SEGURO","1471","0","1308","0","","","","","","","",""
"4794","20190508","50 FRASCOS 250 ML $ 8.75","1499","0","437.5","0","","","","","","","",""
"4795","20190508","70 FRASCOS 500 ML $ 11.55","1499","0","808.5","0","","","","","","","",""
"4796","20190508","120 GATILLOS $ 13.65","1499","0","1638","0","","","","","","","",""
"4797","20190508","50 FRASCOS 60 ML $ 6.55","1499","0","327.5","0","","","","","","","",""
"4798","20190508","50 BOMBAS 60 ML $ 9.50","1499","0","475","0","","","","","","","",""
"4799","20190508","1 ETIQUETAS","1499","0","100","0","","","","","","","",""
"4800","20190508","PONY 50%","1593","0","390","0","","","","","","","",""
"4801","20190508","10 FRASCOS 125 ML 6.55","1443","0","65.5","0","","","","","","","",""
"4802","20190508","10 FRASCOS 500 ML 11.55","1443","0","115.5","0","","","","","","","",""
"4803","20190508","10 FRASCOS 260 ML 8.75","1443","0","87.5","0","","","","","","","",""
"4804","20190508","264 FRASCOS 260 ML 8.75","1471","0","2310","0","","","","","","","",""
"4805","20190508","30 VARILLAS 2.50","1471","0","75","0","","","","","","","",""
"4806","20190509","CALCOS","1729","0","50","0","","","","","","","",""
"4807","20190509","400 ML DE PERFUMINA","1443","0","56","0","","","","","","","",""
"4808","20190509","25 ENVASES 125 ML $ 6.20","1708","0","155","0","","","","","","","",""
"4809","20190509","10 ENVASES 1 LITRO 13.80","1708","0","138","0","","","","","","","",""
"4810","20190509","10 ENVASES 500 ML $ 13.10","1708","0","131","0","","","","","","","",""
"4811","20190510","30 TAPAS $ 1.30","1443","0","39","0","","","","","","","",""
"4812","20190510","30 GATILLOS $ 13.65","1","0","409.5","0","","","","","","","",""
"4813","20190513","5 GATILLOS 13.65","1443","0","68.25","0","","","","","","","",""
"4814","20190513","10 ENVASES 250 ML 8.75","1443","0","87.5","0","","","","","","","",""
"4815","20190513","50 TAPAS $ 1.30","1443","0","65","0","","","","","","","",""
"4816","20190513","20 VARILLAS $ 2.50","1238","0","50","0","","","","","","","",""
"4817","20190513","40 TAPAS 1.30","1238","0","52","0","","","","","","","",""
"4818","20190514","4 BIDONES $ 330","1729","0","1320","0","","","","","","","",""
"4819","20190514","20 FRASCOS 260 ML $ 8.75","1729","0","175","0","","","","","","","",""
"4820","20190514","10 FRASCOS 500 ML $ 11.55","1729","0","115.5","0","","","","","","","",""
"4821","20190515","30 ENVASES C/GAT. $ 27.70","1571","0","831","0","","","","","","","",""
"4822","20190515","40 VARILLAS 2.50","1471","0","100","0","","","","","","","",""
"4823","20190516","5 GATILLOS 12.50","1238","0","62.5","0","","","","","","","",""
"4824","20190516","5 ENVASES 250 ML8.75","1238","0","43.75","0","","","","","","","",""
"4825","20190516","7 GATILLOS 13.65","1443","0","95.5","0","","","","","","","",""
"4826","20190516","10 ENVASES 125 ML 8.75","1443","0","87.5","0","","","","","","","",""
"4827","20190516","10 ENVASES 125 ML 6.55","1443","0","65.5","0","","","","","","","",""
"4828","20190516","10 ENVASES 500 ML 11.55","1443","0","115.5","0","","","","","","","",""
"4829","20190517","10 FRASCOS 250 ML $ 8.75","1729","0","87.5","0","","","","","","","",""
"4830","20190517","4 BIDONES PITU","1471","0","0","1073.44","","","","","","","",""
